id,usuario,email,tel,data_cadastro
3,Claudio Marques,claudio@hotmail.com,965233256,2021-04-09 14:51:24
5,Carlos Rhedney,twisterpsa@hotmail.com,970585566,2021-04-11 00:45:09
6,Maycke Rodrigues,maycke@hotmail.com,921123354,2021-04-11 00:49:50
9,Jose Comilao,jose@hotmail.com,956431221,2021-04-17 01:17:53
10,Costelinha da Silva,costelinha@hotmail.com,987876556,2021-04-17 01:18:53
13,Mestre Kame,kame@hotmail.com,987786556,2021-04-25 22:49:17
15,Chatonilda Bia,chatonilda@hotmail.com,925361478,2021-06-17 14:22:45
17,Chad Smith,chad@hotmail.com,987675775,2021-06-18 20:49:39
29,Antony Kieds,antony@hotmail.com,945546336,2021-06-24 14:44:41
31,Green Day,green@hotmail.com,9564783,2021-06-26 15:11:17
32,Guns n Roses,guns@hotmail.com,978876776,2021-06-26 15:11:31
33,Metalica,metalica@hotmail.com,971234776,2021-06-26 15:11:41
38,Charlie Brown Jr,charlie@hotmail.com,989899898,2021-07-10 21:14:45
39,Eminem,eminem@hotmail.com,985256413,2021-07-11 14:16:41
40,50 Cent,50cent@hotmail.com,921451452,2021-07-11 14:18:34
41,Stanley Self,stanley@hotmail.com,932517894,2021-07-11 14:21:16
44,Ne Yo,neyo@hotmail.com,967765675,2021-07-11 14:24:08
47,Josivaldo Pereira,josivaldo@hotmail.com,987877878,2021-07-24 15:46:09
51,Homer Simpson,homer@hotmail.com,954631232,2021-08-07 20:53:16
53,Josh Kinglover,josh@hotmail.com,912122121,2021-08-08 01:21:44
54,Marge Simpson,marge@hotmail.com,964532718,2021-08-08 01:22:24
57,Bart Simpson,bart@hotmail.com,921213443,2021-08-15 01:40:12
58,Lisa Simpson,lisa@hotmail.com,975643128,2021-08-15 01:50:11
59,Maggie Simpson,maggie@hotmail.com,912345678,2021-08-15 13:48:19
